Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/users,22,22,4,3.9319203636048106,1.706666999780282,6.563500000083877,22.0,0.3773419730536068,0.3773419730536068,4,4,5,5,5,5,7,7,7,7,7
GET,/users?limit=10,101,101,4,4.34674293069968,1.223707999997714,21.35791699947731,22.0,1.7323426944733766,1.7323426944733766,4,5,5,5,6,6,7,8,21,21,21
GET,/users?limit=500,115,115,4,3.6885452434865367,1.2907079999422422,7.300874999600637,22.0,1.972469404598399,1.972469404598399,4,4,4,4,5,5,6,7,7,7,7
GET,/users?search=acme&limit=25,2,2,3.1882080002105795,3.363333000379498,3.1882080002105795,3.5384580005484167,22.0,0.034303815732146074,0.034303815732146074,4,4,4,4,4,4,4,4,4,4,4
GET,/users?search=admin&limit=25,6,6,3,3.3484791668646117,2.3858750000727014,4.319790999943507,22.0,0.10291144719643822,0.10291144719643822,4,4,4,4,4,4,4,4,4,4,4
GET,/users?search=global&limit=25,1,1,4.204083000331593,4.204083000331593,4.204083000331593,4.204083000331593,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/users?search=test&limit=25,6,6,4,4.197715000069972,2.1735000000262517,7.580540999697405,22.0,0.10291144719643822,0.10291144719643822,4,4,4,4,8,8,8,8,8,8,8
GET,/users?search=user&limit=25,3,3,2.0622499996534316,2.489708666568428,2.0622499996534316,3.215292000277259,22.0,0.05145572359821911,0.05145572359821911,2,2,3,3,3,3,3,3,3,3,3
GET,/users?skip=10&limit=10,1,1,1.091041999643494,1.091041999643494,1.091041999643494,1.091041999643494,22.0,0.017151907866073037,0.017151907866073037,1,1,1,1,1,1,1,1,1,1,1
GET,/users?skip=107&limit=50,1,1,3.7827080004717573,3.7827080004717573,3.7827080004717573,3.7827080004717573,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/users?skip=108&limit=50,1,1,5.641042000206653,5.641042000206653,5.641042000206653,5.641042000206653,22.0,0.017151907866073037,0.017151907866073037,6,6,6,6,6,6,6,6,6,6,6
GET,/users?skip=109&limit=50,1,1,4.228708000482584,4.228708000482584,4.228708000482584,4.228708000482584,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/users?skip=11&limit=25,1,1,3.9758749999236898,3.9758749999236898,3.9758749999236898,3.9758749999236898,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/users?skip=110&limit=10,1,1,4.4510409998110845,4.4510409998110845,4.4510409998110845,4.4510409998110845,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
